Column1,id,geometry,x,y,,,,Typ budovy,,,,Pocet-bytov
245,18124,POINT (21.2361318 48.7303163),21.2361318,48.7303163,,,,Rodinny dom,,,,1
246,18126,POINT (21.2360245 48.7309842),21.2360245,48.7309842,,,,Rodinny dom,,,,1
247,18128,POINT (21.235504 48.7305883),21.235504,48.7305883,,,,Rodinny dom,,,,1
248,18132,POINT (21.23559 48.7301025),21.23559,48.7301025,,,,Rodinny dom,,,,1
249,18061,POINT (21.2370514 48.7305212),21.2370514,48.7305212,,,,Rodinny dom,,,,1
250,18135,POINT (21.2356746 48.7296689),21.2356746,48.7296689,,,,Rodinny dom,,,,1
251,18138,POINT (21.2356946 48.7295016),21.2356946,48.7295016,,,,Rodinny dom,,,,1
252,18141,POINT (21.2352672 48.7297801),21.2352672,48.7297801,,,,Rodinny dom,,,,1
253,18142,POINT (21.2352517 48.7298767),21.2352517,48.7298767,,,,Rodinny dom,,,,1
254,18144,POINT (21.2352096 48.7300666),21.2352096,48.7300666,,,,Rodinny dom,,,,1
255,18146,POINT (21.2351583 48.730364),21.2351583,48.730364,,,,Rodinny dom,,,,1
256,18147,POINT (21.2349663 48.7305171),21.2349663,48.7305171,,,,Rodinny dom,,,,1
257,18148,POINT (21.2351244 48.7306924),21.2351244,48.7306924,,,,Rodinny dom,,,,1
258,18149,POINT (21.2351006 48.7308325),21.2351006,48.7308325,,,,Rodinny dom,,,,1
259,18110,POINT (21.2366734 48.7294315),21.2366734,48.7294315,,,,Rodinny dom,,,,1
260,18107,POINT (21.236649 48.7295877),21.236649,48.7295877,,,,Rodinny dom,,,,1
261,18106,POINT (21.2366206 48.7297366),21.2366206,48.7297366,,,,Rodinny dom,,,,1
262,18104,POINT (21.2365252 48.7302083),21.2365252,48.7302083,,,,Rodinny dom,,,,1
263,18063,POINT (21.2370435 48.7305722),21.2370435,48.7305722,,,,Rodinny dom,,,,1
264,18064,POINT (21.2370135 48.7306973),21.2370135,48.7306973,,,,Rodinny dom,,,,1
265,18069,POINT (21.2110886 48.7166008),21.2110886,48.7166008,,,,Bytovy dom,,,,16
266,18070,POINT (21.2111923 48.717004),21.2111923,48.717004,,,,Bytovy dom,,,,16
267,18071,POINT (21.2111548 48.7168554),21.2111548,48.7168554,,,,Bytovy dom,,,,16
268,18072,POINT (21.2111291 48.7167538),21.2111291,48.7167538,,,,Bytovy dom,,,,16
269,18073,POINT (21.2071781 48.7165318),21.2071781,48.7165318,,,,Bytovy dom,,,,20
270,18075,POINT (21.2069432 48.7164975),21.2069432,48.7164975,,,,Bytovy dom,,,,20
271,18079,POINT (21.206469 48.7164283),21.206469,48.7164283,,,,Bytovy dom,,,,12
272,18080,POINT (21.2067054 48.7164628),21.2067054,48.7164628,,,,Bytovy dom,,,,12
273,18084,POINT (21.2369882 48.7308137),21.2369882,48.7308137,,,,Rodinny dom,,,,1
274,18087,POINT (21.2084698 48.7167203),21.2084698,48.7167203,,,,Bytovy dom,,,,17
275,18088,POINT (21.2078583 48.716631),21.2078583,48.716631,,,,Bytovy dom,,,,17
276,18089,POINT (21.2082398 48.7166867),21.2082398,48.7166867,,,,Bytovy dom,,,,17
277,18090,POINT (21.2080821 48.7166637),21.2080821,48.7166637,,,,Bytovy dom,,,,17
278,18096,POINT (21.2121661 48.7131755),21.2121661,48.7131755,,,,Bytovy dom,,,,13
279,18097,POINT (21.2121333 48.71328),21.2121333,48.71328,,,,Bytovy dom,,,,13
280,18100,POINT (21.2365225 48.731021),21.2365225,48.731021,,,,Rodinny dom,,,,1
281,18102,POINT (21.2364788 48.7305214),21.2364788,48.7305214,,,,Rodinny dom,,,,1
282,17943,POINT (21.2326179 48.7293356),21.2326179,48.7293356,,,,Rodinny dom,,,,1
